Sudwest-Fryslan;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Terneuzen;-;-;-;-;-;0;0;-;0;0;0;0;-;0;0;0.1;0;-;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;0.2;-;-;0;0;-;0;-;0;-;0;-;-;-;-;-;-;-;0.1;-;-;0.1;-;-;-;-;-;0;-;-;0.3;-;-;-;0;-;0;-;-;0;0;-;0;-;-;-;0;0;-;0;-;0;-;-;0;-;-;0;-;-;0;-;0;-;-;-;0;-;-;0;-;-;-;0;-;-;0;-;-;0;-;0.4;0;0;0;-;-;0;-;0;-;-;-;-;0;-;0;0;-;-;-;-;-;0;-;0;-;-;0;0;-;0;-;-;0;-;0;-;0;0;0;-;0;0;-;-;-;0;-;0;0;0;1.2;0;-;-;0.1;-;-;-;-;-;0;-;-;-;-;0;-;-;-;-;-;-;0;-;0;0;-;0;-;0;-;-;-;0;0;-;-;-;0;-;0;0;-;-;-;-;-;-;-;0.5;0;-;-;-;0.1;-;-;0;-;-;-;-;0;-;0;0;-;-;0;0;-;0;0;-;-;-;-;-;-;-;-;-;0;-;-;-;-;0;-;-;-;-;0;0;-;-;0;-;0;0;-;-;0;0;0;-;0;-;-;-;-;0;0;0;-;0;-;-;-;0.2;0.3;0;0;0;-;-;0;-;0;-;-;0;-;-;0;-;0;0;-;0.6;-;-;-;0;0;-;0;-;0;-;0;-;-;-;17.4;-;-;-;0;0;0.1;-;-;-;-;-;0;-;-;-;0;-;-;-;0;-;0;0;-;-;0;0;-;0;0;-;-;0.2;-;-;-;-;-;-;0;-;0;-;-;0;-;-;-;-;-;0;-;0;-;0;0;-;-;0;0.2;0;-;-;-;0;0;0;-;0;-;-;0;-;0;-;-;-;0;0;-;0;0;-;-
Terschelling;-;-;-;-;-;-;-;0;0;0;0;-;0;-;-;0;0;-;-;0;-;-;0;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;0;-;-;-;-;0;-;-;-;-;-;0;-;-;0;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;0;0;-;-;-;-;0;-;-;0;-;-;-;-;0;-;-;-;-;-;-;-;0;0;-;-;0;-;-;-;-;0;-;-;-;0;-;-;-;-;-;0;-;-;-;-;0;-;-;-;-;0;0;-;0;-;-;-;-;0;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;0;-;-;-;0;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.1;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;0;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;0;-;-;-;0;-;-;-;-;0;-;-;-;-;-;1.3;0;-;-;-;0;-;-;-;0;-;-;-;-;-;0;-;-;-;0;-;-;-;-;-;0;-;-;-;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-
Texel;-;-;0;-;0;-;-;0.1;-;-;0;-;-;0;0;0.1;0;-;0;-;-;-;-;0;0;-;-;0;-;-;-;-;-;0;0;-;-;-;-;-;0;-;-;-;-;-;0;-;-;-;-;-;-;-;-;0;0;-;-;-;0;-;-;-;0;0;-;-;-;-;-;-;-;0;0;-;-;0;-;-;-;-;-;0;0;-;0;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;0;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;0.1;-;0;-;-;-;-;0;0;0;-;-;-;-;0;0;-;0;-;-;0;0.1;-;-;-;0.4;-;-;-;-;-;0;-;0;-;-;0;-;-;-;-;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;0;0;-;0;-;0;0;-;0;0;0;0;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;0;-;-;-;-;-;0;-;-;-;-;-;0;-;-;-;-;0;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;0;-;-;-;-;0;-;0;0;-;-;0;-;-;0;-;-;-;-;0;-;-;-;-;-;-;-;-;0;-;-;-;0;0;-;0;-;-;-;-;-;-;-;-;4.2;0;-;-;0;-;-;-;0;0;-;0;0;-;0;-;-;-;-;-;-;-;-;-;0;-;-;-;0;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;0;-;-;-;0;-;-;0;-;0;-;0;-;-;0;0;0;-;-;0.1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-
Teylingen;-;0;0.1;0;-;0;0;0;0;0;0.1;-;-;0;0.1;0.7;0;-;0;0;-;-;0;0;0;-;-;0;-;-;-;-;-;-;0;-;0;-;0;0;0;-;0;0;0;-;0;-;-;-;-;-;-;0;0;0;-;-;-;-;0;0;-;0;0.1;-;-;-;-;-;0;-;-;0.1;0;-;0;0;-;-;-;0;-;0;-;0;-;0;-;-;0;0;0;-;-;-;0;0;0;0;0;0;-;0;-;-;-;0;-;-;-;0;-;0;-;0;-;0;0;0;-;1;-;0;-;-;-;-;0.2;0;1.4;-;-;0;0;0;-;-;0;0.2;-;-;0;0;0;0;0;-;-;0;0;-;0;-;0;0.3;-;0;-;-;-;-;0;0;0;0;-;0;-;0;-;1.2;-;-;-;-;0;0;-;-;-;-;-;0;-;0;0;-;2;0.3;0.2;0;-;0;-;-;1;0;-;-;0;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;0;-;-;-;0;-;-;0;-;0;0;-;-;-;0;0;0;0;0;-;-;0;0.9;0.5;0;-;0;0.5;0;0;-;-;-;0;-;-;-;0;-;0;-;-;0;-;0;0;-;-;-;0;-;-;0;0;0;-;-;0;0;-;-;0;0;-;-;0.1;-;-;0;0;0.1;-;-;-;-;-;0;-;-;-;0;0;-;-;-;-;-;0;-;-;-;0;0;0;0;-;-;-;0;-;-;-;-;-;-;-;-;4.5;-;0;0;-;-;-;-;-;-;0;0.1;-;0.1;0;-;-;0;-;0;0;0;-;0;-;0;0;0;-;-;-;0;-;0.1;-;-;0;0;0;0;0.1;-;0;0;-;0;-;-;0;-;-;-;0;0;0;-;-;-;0;-;0;0;-;0;0;0;-;-;-;0;-;0.1;0.1;-;-;-;0;-;0;0;-;-
Tholen;-;0;0;-;-;0;0;-;0;0;0;-;-;0;0;0;0;-;0;-;-;-;0;0.1;0;-;0;-;0;-;0;-;-;-;2.2;-;-;0;0;-;-;-;0;0;0;-;-;-;-;-;0;-;0;-;0;0.1;0;-;-;-;-;-;-;-;0;0;-;-;0;-;-;-;-;0;0;-;-;-;0;-;0;0;-;0.1;-;0;-;0;-;-;-;-;-;-;0;-;0;-;-;-;0;0;0;0.1;-;-;-;0;0;-;-;-;-;0;-;0.6;0;0;0;-;-;0.1;-;0;-;-;-;-;0;-;0;0;-;0;0;-;0;-;-;-;-;0;-;0;-;-;0;-;0;0;0;-;0;-;0;-;-;0;-;-;0;-;0;-;0;-;0;0;-;-;0;-;-;-;-;0;0;0;-;-;-;-;-;-;-;0;-;-;0;-;0;-;-;0;0;-;-;-;-;-;0;-;-;0;0;-;0;0;-;-;-;-;-;0;0;0.1;-;-;-;-;0.1;-;-;-;-;-;-;0;0;-;0;0;-;0;-;0;-;0;-;-;0;0;-;-;0;0;-;-;0;-;-;-;-;0;-;-;-;-;0;0;0;-;0;-;0;0;-;-;0;0;0;-;0.2;-;-;-;0;-;0;-;0;0;0;0;-;0.6;0.5;0;0;-;-;-;0;-;0;-;-;0.1;-;-;0;0;0;0;-;0;-;-;-;-;0;-;-;-;0.4;-;0;-;0;-;0.1;-;-;-;3.8;-;0;-;-;-;-;0;0;-;0;0;0;0;-;-;0;-;0;0;0;0;-;0;-;0;0;-;-;0;0;-;0;-;0;-;0;0;-;-;-;0;-;0;0;-;-;0;-;0;-;0;-;0;-;-;0.1;0;-;-;0;0;0;0;-;-;-;0;0;-;0;0;-;-;0;0;0;0;-;-;-
Tiel;0;0;0;0;-;0;0;0;0;0;0;-;-;0.1;0;0.2;0;-;0.2;0;0;-;0;0;0;-;-;-;-;-;-;0;-;-;0;-;0;-;0;0;0;-;0;0;0;0;-;-;-;-;-;-;-;0;0;0;0;0;0;-;0;0;0.6;0;0;-;-;0;0;0;0.6;0;-;0;0;-;0;0;-;0;0;0;-;0;-;0;0;0.1;0;0;0;0.3;0;-;0;-;0.1;0;0;0;0;0;0;0;-;-;-;0;1.1;0;0;0;0;0;-;0;0;0.2;0;-;0;0;0;0;0;-;-;-;0;0;0.1;0;0;0;0;-;-;0;-;0;-;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;-;0.1;-;-;0;-;0;-;0.1;0;-;0;-;-;-;0;0;-;-;0;0;0;0;-;-;-;-;0;-;0.1;0;-;0;-;0;0;-;0;0;0;0;-;-;-;0;-;-;0;0.1;-;0;0;-;-;-;-;-;-;-;-;-;-;-;0;0;-;0;0;0;0;0;0.4;0;-;0.3;0.2;0;0;0.3;-;0;0;0;-;0;0;-;-;0;0;-;0;0;-;0;-;-;0;-;-;-;0;0.2;0;-;0;-;0;0.1;0;-;-;0;0;-;-;-;0;0;0;0;0.1;0;0;0;0;-;0;0;0;0.1;-;-;0;-;0;0;-;0;-;0;0;-;0;0;-;0;0;-;-;0;0;-;0.1;0;-;0;-;-;0;0;-;-;-;-;-;-;0;0;9.1;0.1;-;0;-;-;0;0;-;0;-;0.9;0.3;-;-;0;0;0.2;-;0;0;0;0;0;0.2;0;-;-;-;0;0;0;-;0;0;0;0;0.1;0;-;0;0;0;0.1;-;-;0;-;0;-;0;0;0.3;-;0;-;0;0;-;0;0;0;0.2;-;0;-;0;0.2;0;0.1;-;-;-;0;0;0;0;0;-;-
Tilburg;0;0;0;0;-;0.1;0;0;0.1;0.1;0;0.1;-;0.2;0;0.6;0;-;0.1;0;0;0.1;0;0.1;0;-;0;-;0;-;-;0;-;-;0.1;0;0;-;0.4;0;0;0;0;0;0.2;-;0;-;0;-;0;-;0;0;0.4;2.9;0;0;0;0;0;0;0;0;0.3;-;0;0;0;0;0;0;-;0.1;0;0;0;0;0;0;0;1;-;0.3;-;0.1;0;0;0;0;0;0.1;0;-;0.1;-;2.8;0;0;-;0;0;0;0.2;-;0;-;0.2;0;0.1;0;0;0;2;-;0;1.7;0.1;0.1;-;0;0.5;0;0;-;-;-;0.6;0.1;-;0.2;0.1;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;2.7;0;0.4;0;0.5;0.2;-;-;0;-;0;0;0.1;0;0;0;-;0;0;0;0;-;-;0;0;0;0;0;-;0;-;0;0;0;0;-;0;0;0.1;0;-;0;0;0;0;-;0;1.1;0;-;0;0;0.1;-;0;0.1;-;-;-;0;-;-;0;0;0;-;0;-;0.1;-;-;0;0;-;0;0;0;0;0;0.2;0;0;0.2;0;0;0;0;0;0.1;0;0;0;0.4;1.4;-;0;0;-;-;-;-;1.1;0;-;-;-;0.3;0;0;0;-;0;0;0;-;-;0;0;0;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0.4;0.9;0;0;-;-;0;0.1;-;0.1;0;0;0;0;0;0.1;0.1;0.1;0;-;0;0;0.1;0;0.3;0;-;-;0;0;-;0;-;0;-;0;-;0;0;0;0.1;64.6;0;0;-;0;0;0.1;0;0;-;0.6;0;-;0;0.1;-;0;0;0.2;0.4;0;0;0;0.1;0;-;0;0;0;-;0;0;0.5;0.1;1.9;0;0;-;-;0.1;0;0;0;0;-;0;-;-;-;0;0;0;-;0;0;0;-;0;0;0;0;0.1;0;0;0;0;0;0;0.2;0;-;-;0;0;0;0.1;0;-;-
Tubbergen;-;-;-;0;-;-;-;0;2.4;0;-;-;0;0;0;0;0;-;0;0;-;-;0;-;0;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;0.2;-;0;-;0;-;0;-;-;-;0;-;0;0;-;0;-;-;-;-;0;-;-;0;0;0.1;0;0.5;-;0;-;-;0;-;-;0;-;0;-;-;0;-;-;0;-;0;-;0;-;0.4;0;0;-;-;-;-;-;-;-;-;-;-;0;-;0;-;0;0;-;-;0;-;0;-;-;0;-;0;-;0;-;0.1;-;-;0;-;-;-;-;-;0;0;-;-;0;-;0.1;-;0;-;0.5;0;-;-;-;-;0;0.1;-;0;0;-;-;-;-;-;0;-;0;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;0;-;-;-;0;0;-;0;0;-;-;-;0;-;-;-;0.2;-;0;-;-;0;-;-;-;-;-;-;0;-;-;0;-;-;0;-;0;-;-;-;-;-;-;-;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;0.4;0;0;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;-;0;-;-;0;-;0;-;0.1;-;-;0;0;-;0;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;0;-;-;-;0;-;-;-;-;-;0;-;-;0;-;-;-;-;-;-;-;0;-;0;0;3.7;0.2;0;-;-;-;-;-;-;0;-;-;-;-;-;0;-;0;-;0;0;-;-;0;-;-;-;-;-;-;0;-;-;-;-;0;-;-;-;-;-;-;0;-;0;-;-;0.1;-;-;-;-;0;-;0;0;-;-;-;0;0;-;-;-;-;0;-;0;-;-;-;-;0;0;-;0.1;-;-
Twenterand;0;-;-;0;-;0;-;0;3.2;0;0;-;-;0;0;0.1;0.1;0;0.1;0;-;-;0;-;0;-;-;-;-;0;-;-;-;-;0;0.1;-;0;0;0;0;-;0;-;0;0;-;-;-;-;0;0.1;-;0;-;0;-;0;0;-;0;0;0;0;0;-;0;-;-;-;-;0.1;-;0;0;-;0.2;0;0.1;-;0;0;0;0;-;-;0;0;0;-;-;0;-;-;-;-;0;0;0;-;0.3;0;0;-;-;0;-;-;0;-;-;-;-;0;-;-;-;0;0;-;-;0;-;0;-;-;0;-;0;-;0;-;0.6;0;-;-;-;0;-;-;0;0;-;0;-;-;0;0.7;0;0;-;0.4;0;-;-;-;-;0;0.1;-;0.1;0;0;-;0;0;-;0;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;0;-;0;-;0;-;0;0;-;0;-;0;-;0;0;-;-;-;0;-;-;-;0;0;-;-;-;-;-;-;0;-;-;0;-;-;0;-;-;-;-;-;0;-;-;-;0;0;0;0;0;-;0;0;-;0;0;-;-;-;-;-;-;0;0.2;0;0.5;-;-;0;-;-;-;0;0;-;0;-;-;-;-;0;-;0;-;0;0;0.1;-;0;-;-;0;0;0;-;0.4;0;-;-;0;0;0;-;-;-;-;-;0;-;-;-;-;-;-;0;-;-;-;-;-;-;0;-;-;0;0;0;0;-;-;0;-;-;-;-;-;0;-;0;-;-;0;0.3;5.2;0;-;-;0;-;-;-;0;0;-;-;-;-;0;-;0;0;-;0;0;0;-;0;-;-;-;-;-;0;0;-;0;0;0;-;-;0;-;-;-;0.1;0;0;-;-;0.3;-;0;0;-;0;-;0;0;0;0;0;0;-;-;-;-;0;0;-;0;-;-;-;-;0;0;-;0.5;-;-
Tynaarlo;0.1;-;-;-;0;-;-;0;0;0;0;-;0;0;0;0.1;0;0;0;2.3;0;-;0;0;0;0;0;-;-;0;-;-;0;-;0;-;-;-;-;-;0;-;0;-;-;-;-;-;-;0;0;-;0;-;-;0;-;-;-;-;0;-;0;-;0;-;0;0;-;-;-;0;-;0;0;-;0;0;-;-;-;0;0;0;-;-;0;-;-;-;-;0;-;0;0;-;0;-;0.1;0;0;0;0;0;0;0;-;0;0;-;-;-;-;0;-;-;0;-;0;-;-;0;-;3.5;0;-;0;-;0;-;0;-;0;0;-;0.5;0;0;-;-;-;0;0;0;-;-;0;0;-;0;-;0;0;-;-;-;-;0;0;-;0.1;0.5;0;-;0;0;-;0;-;0;-;0;-;-;0;-;-;-;-;0;-;-;-;-;0.1;0;0.1;-;0;-;-;0;-;0;-;-;-;-;0;-;-;0;-;-;-;-;-;0;0;0;-;-;-;0;0;-;-;0.1;-;-;0;-;0;-;-;-;-;-;-;-;0;0;-;0;0;-;0.3;0;-;0;-;0;-;-;-;-;-;0;0;-;0;-;-;-;0;-;-;0;0;-;0;-;-;-;-;0;-;0;0;-;-;0;-;0;-;-;0;-;-;-;0;0;-;-;0;-;0;-;-;-;-;0;0;0;-;-;0;-;-;-;-;-;-;-;0;-;0.1;-;-;-;0;0;0;-;-;0;-;-;-;-;-;0;-;-;-;-;0;-;0;3.6;0;-;0;-;0;-;0;0;-;-;0;0.1;0;-;-;-;0;0;-;0;-;0;0;-;-;-;-;0;-;-;0;0;0;0;-;-;0;-;-;0;-;0;0;-;-;-;-;-;0;0;-;0;0;-;-;-;0;-;0;0;-;0;0;-;0;-;0;-;-;0;0;-;0.1;-;-
Tytsjerksteradiel;0;-;-;-;0.4;0;-;0;0;0;0;-;0;0;0;0.1;0;-;0;0;-;-;0;-;0;0;-;-;-;-;0;-;-;0;0;-;-;-;-;-;0;0;0;-;-;-;-;-;-;-;0;0;-;0;-;0;-;0;-;-;0;-;-;-;0;-;0;-;-;-;-;0;-;0;0;-;0;0;-;-;-;0;0.2;0;-;-;0;0;0;-;0;0;-;-;0;-;0;-;0;0;0;-;0;-;0.1;0.1;-;0;0;-;-;-;-;0;-;0;-;0;0;-;-;0;-;0.4;0;-;0;-;0;-;0;0;0;0;-;0;0;0;-;-;0;0.3;0;-;-;-;0;0;-;-;-;0;0;-;0;-;0;0;-;-;0;0;0;-;0;0;-;0;-;0;-;-;-;-;0.1;-;0;-;-;-;0;0;-;-;0;-;3.8;0;0;-;0;0;-;0;-;0;0;0;-;-;-;0;-;-;-;-;0;0;0;0;0;-;-;0;0;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;-;0;0;-;-;-;0;-;-;-;-;-;-;0;0;-;-;-;-;0;-;-;0.2;-;0;0;-;-;-;0;-;-;-;-;0;-;0;-;-;-;-;0;-;-;-;0;0;-;-;0;0;0;-;-;0;-;-;0;0;-;-;0;-;-;-;-;-;-;-;0;-;1.5;-;-;0;-;0;0;0;-;0;-;-;-;-;0;0;0;-;-;0;0;-;-;0;4.4;-;-;-;0;-;0;0;-;-;-;0;0;-;-;-;0;-;0;0;0;-;0;-;0;-;-;0;-;-;0;-;0;0;-;-;0;-;-;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;-;0;0;0;-;-;-;0;0;-;0;0;0;-;-;0;0;0;0.1;-;-
Ubbergen;-;-;-;-;-;-;-;-;0;0;-;-;-;0;0;0;0;-;0.2;-;0;-;0;-;0;-;-;-;-;-;-;-;0;-;0;0;0;-;0;0;-;-;0;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;-;0;-;0;0;0;-;-;-;-;0;0;-;-;0;-;0;0;0;-;-;0;-;-;0;-;0;-;0;0;0;-;0;-;-;0;-;0;-;-;-;0;-;-;-;-;-;-;0;0;-;-;0;-;-;-;-;0;0;0;-;0;0;0.2;-;-;-;0;0;0;-;0;-;-;-;-;-;-;0;-;-;0;-;-;0;-;-;-;0;-;0;-;0;0;0.1;0;-;-;0;0;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;0;0;-;0;-;0;-;0.1;-;-;0;-;-;-;-;0;-;-;-;0;-;-;0;-;-;-;-;-;-;-;0;0.1;0;-;0;0;0;-;0;0;-;-;-;0;0;0;1.8;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;0;-;0;-;-;-;0.1;-;-;-;-;-;-;0;-;0;0;-;0;0;0;0;0;-;-;0;0;-;0;-;-;-;-;-;-;-;0;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;0;-;-;-;-;0.7;0;-;-;-;0;0;-;-;-;-;0;-;0;-;-;0;0;0;0;-;-;0;-;-;-;0;0;0;-;-;0;-;-;0;0;-;0;-;-;-;0;-;-;0.1;-;0;-;0;-;0;-;-;-;-;-;0;-;-;0;-;0;0;0;-;-;-;-;0;-;-;0;-;-
Uden;-;0;-;-;-;0;-;0;0;0;0;0;-;0.2;0;0.1;0;-;0.1;0;0;0;0;0;0;-;0;-;-;-;-;0;0;-;0;0;0.3;-;0.1;0;0;-;0;-;0;-;-;-;0.4;-;-;-;-;0.1;0.1;0;0;-;0;-;0;-;0;0;0;-;-;0;-;0.2;0;-;-;0;-;0;0;0;-;0;0;0;-;0;-;0;-;0;0;0;-;0;-;-;0;-;0.6;0;0;0;0;-;-;0;-;-;-;0;0;0;0.1;0;-;0;-;0;0;0;0;-;0;0;0;0;-;-;-;0;0;-;0;0;-;0;-;-;-;-;-;0;0;-;0;0;0.1;-;0;0;0;0.2;0;0;0.7;0;0;-;0;0;0;-;-;-;0;0;0;-;-;0;-;0;-;-;0;-;-;-;-;0.1;0.4;0;-;-;-;0;-;0;0;-;-;0;0;0;-;0;0;0;-;-;-;0;0;-;-;0.1;0;-;-;0;-;-;-;-;-;-;0;-;-;-;0.1;-;0;-;0;0;0;-;0;0;-;-;0;0;-;0;0.3;-;0;0;0;-;0;0;-;-;0;0;-;0;0;-;-;0;-;0;-;-;-;-;1;-;0;-;-;-;0;0;-;-;-;0;-;-;-;0;-;0;0;0;0;-;0;0;-;0;0;0;0;-;0;-;-;-;0;-;0.2;-;-;-;-;0;0.1;0.1;0;-;-;-;0;0;0;0.1;0;-;-;-;-;-;-;-;-;-;0;0;-;0;-;0;0.2;-;0;-;-;0;9.6;0;0;-;0.1;0;-;-;0;-;0;-;2.2;0;0;0.1;0.1;0;0;-;-;-;0;-;-;-;0;0;0;0;0;-;-;0;-;0;0;-;-;0;-;-;-;0.1;0;-;-;0;0;0;0;0;-;0;0;0;-;0;-;0;0;0;0;0;0;-;0;0;0;0;0;-;-
Uitgeest;-;-;0;-;-;-;-;0.3;0;0;0;-;0;0;0.1;0.9;0;-;0;0;-;-;0;-;0;-;-;0;-;-;0;-;-;0;0;-;-;-;-;-;0.6;-;0;-;-;-;0;-;-;-;-;-;-;-;-;0;-;-;-;-;0;-;-;0;0;0.4;-;-;-;-;0;-;-;0;-;-;-;0;-;-;-;-;-;0;0;-;0;-;0;-;0;0;-;-;0;-;-;0;-;0;-;0;-;0;-;-;-;-;0;-;-;-;-;0;-;-;-;0;0;0;-;0;-;0;-;-;-;-;0.3;0;0.2;-;-;0;-;-;-;-;0.5;0;-;0;0.1;-;-;0.1;0;-;-;0;-;0;0;-;-;0;-;0;-;-;-;-;0;-;0;0;-;0;-;-;-;0;-;-;-;-;0;-;-;-;0;0;-;-;-;-;0;-;0;0;0;0;-;0;0;-;0;-;-;-;-;-;-;-;-;-;0;0;-;-;0;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;0;0;-;0;-;-;-;-;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;0;-;-;-;-;-;-;0;0.1;-;-;-;-;-;-;-;-;0;-;-;0;-;-;0;-;0;-;-;0;0;-;0;0;-;-;-;-;-;-;-;-;-;0;-;0;-;0;-;0;-;-;0;-;-;-;-;-;-;-;-;-;-;0;-;-;0;-;-;-;-;-;-;0.9;0;-;0;0;-;-;0;-;0;-;-;-;0.5;-;-;0;0;-;-;-;0;-;-;-;-;-;-;-;0;0;0;0;0;-;-;-;-;0;-;-;-;-;0;-;-;0;0;0;-;0;-;-;0.5;0;0;-;0;-;0;-;0;0;-;-;-;0;-;-;0;-;-
Uithoorn;-;-;1.2;-;0;0;0;0;0;0.1;0.1;-;-;0;1.6;2.4;0;-;0;0;0;-;0;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;0;-;0;0;-;0;0;-;-;-;-;-;-;-;0;0;-;-;-;-;0;-;0;0;0;0;-;-;0;-;0;-;-;0;-;-;-;0.2;-;-;-;-;-;0;0;-;-;0;0;-;0;0;0;-;0;-;0;-;-;-;0;0;-;0;-;-;-;-;0;-;-;-;0;0;-;0;-;0;0;0;-;0.1;-;0;-;-;-;0;0.1;0;1.6;-;0;0;0;0;0;-;0;0;0;-;0;0;-;0;0;-;-;0;0;-;0;-;0;0;-;0.1;-;-;0;-;0;0;0;0;-;0;-;-;-;0;-;-;-;-;0;0;-;-;0;0;-;0;-;0;0;-;0;0;0;0;-;0;0;0;0;-;-;-;0;-;0;-;-;-;-;0;-;-;-;-;-;-;0;0;0;-;-;-;0;-;-;0;-;0;0;0;-;-;-;0;0;0;0;-;0;-;0;0;0;0;-;0;-;0;-;-;0;-;-;-;-;0;-;0;-;-;-;-;-;0.1;0;0;-;0;-;-;0;0;0;0;-;-;-;-;-;0;0;-;0;0;-;0;0.5;0;0.1;-;-;-;0;-;0;-;0;-;0;-;-;-;-;-;0;0;-;-;-;0;-;-;-;-;-;0;0;-;-;-;-;-;-;-;0;0;-;0;0;-;-;0;-;-;0;0;3.5;-;0.3;0;-;-;0;-;0;-;0;-;0;0;-;0;0;-;-;-;0;-;0;-;-;-;0;0;0;0;0;-;0.1;-;-;-;-;0;-;-;-;-;0;0;-;-;-;0.1;0;-;-;-;0.1;0;0;0;-;-;0;-;0;0;-;-;-;0;0;0;0;-;-
